"name","name_short","line_display","line_names","tree_count"
"Smithsonian","Smithsonian","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",593
"Tenleytown-AU","Tenleytown-AU","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",366
"Van Ness-UDC","Van Ness-UDC","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",260
"Friendship Heights","Friendship Heights","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",232
"Benning Road","Benning Road","<div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Silver, Blue",211
"Minnesota Ave","Minnesota Ave","<div class=""metro-circle-diplay metro-orange"">OR</div>","Orange",199
"Waterfront","Waterfront","<div class=""metro-circle-diplay metro-green"">GR</div>","Green",190
"Deanwood","Deanwood","<div class=""metro-circle-diplay metro-orange"">OR</div>","Orange",177
"Brookland-CUA","Brookland-CUA","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",176
"Rhode Island Ave-Brentwood","Rhode Island Ave","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",166
"Stadium-Armory","Stadium-Armory","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",164
"Cleveland Park","Cleveland Park","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",164
"Congress Heights","Congress Heights","<div class=""metro-circle-diplay metro-green"">GR</div>","Green",160
"Woodley Park-Zoo/Adams Morgan","Woodley Park","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",158
"Takoma","Takoma","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",152
"Georgia Ave-Petworth","Georgia Ave-Petworth","<div class=""metro-circle-diplay metro-green"">GR</div>","Green",150
"Shaw-Howard U","Shaw-Howard U","<div class=""metro-circle-diplay metro-green"">GR</div>","Green",137
"Fort Totten","Fort Totten","<div class=""metro-circle-diplay metro-red"">RD</div> <div class=""metro-circle-diplay metro-green"">GR</div>","Red, Green",136
"Columbia Heights","Columbia Heights","<div class=""metro-circle-diplay metro-green"">GR</div>","Green",126
"Foggy Bottom-GWU","Foggy Bottom-GWU","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",121
"Potomac Ave","Potomac Ave","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",113
"Federal Triangle","Federal Triangle","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",105
"Farragut West","Farragut West","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",94
"U Street/African-Amer Civil War Memorial/Cardozo","U Street","<div class=""metro-circle-diplay metro-green"">GR</div>","Green",93
"Eastern Market","Eastern Market","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",84
"Navy Yard-Ballpark","Navy Yard-Ballpark","<div class=""metro-circle-diplay metro-green"">GR</div>","Green",84
"Capitol South","Capitol South","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",83
"Anacostia","Anacostia","<div class=""metro-circle-diplay metro-green"">GR</div>","Green",69
"Mt Vernon Sq 7th St-Convention Center","Mt Vernon Sq","<div class=""metro-circle-diplay metro-yellow"">YL</div> <div class=""metro-circle-diplay metro-green"">GR</div>","Yellow, Green",68
"Union Station","Union Station","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",54
"Dupont Circle","Dupont Circle","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",44
"Federal Center SW","Federal Center SW","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",44
"NoMa-Gallaudet U","NoMa-Gallaudet U","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",40
"Farragut North","Farragut North","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",40
"Judiciary Square","Judiciary Square","<div class=""metro-circle-diplay metro-red"">RD</div>","Red",35
"L'Enfant Plaza","L'Enfant Plaza","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div> <div class=""metro-circle-diplay metro-yellow"">YL</div> <div class=""metro-circle-diplay metro-green"">GR</div>","Orange, Silver, Blue, Yellow, Green",32
"Gallery Pl-Chinatown","Gallery Place","<div class=""metro-circle-diplay metro-red"">RD</div> <div class=""metro-circle-diplay metro-yellow"">YL</div> <div class=""metro-circle-diplay metro-green"">GR</div>","Red, Yellow, Green",26
"Archives-Navy Memorial-Penn Quarter","Archives","<div class=""metro-circle-diplay metro-yellow"">YL</div> <div class=""metro-circle-diplay metro-green"">GR</div>","Yellow, Green",23
"McPherson Sq","McPherson Sq","<div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Orange, Silver, Blue",9
"Metro Center","Metro Center","<div class=""metro-circle-diplay metro-red"">RD</div> <div class=""metro-circle-diplay metro-orange"">OR</div> <div class=""metro-circle-diplay metro-silver"">SV</div> <div class=""metro-circle-diplay metro-blue"">BL</div>","Red, Orange, Silver, Blue",9
